"competition","season","match_id","attacking_team","is_home","defending_team","shot_dist","dist_to_goal","shot_angle","body_part","shot_technique","shot_type","teammates_in_frame","opponents_in_frame","closest_opponent_dist","goalkeeper_dist","opponents_in_penalty_area","opponents_in_goal_area","opponents_in_shot_path","is_penalty","is_goal"
"Ligue 1","2022-2023","3837752","AC Ajaccio",1,"Paris Saint-Germain",10.1257098516598,14.4180442501748,13.5941725576522,"Right Foot","Half Volley","Open Play",3,8,2.6,9.08240056372763,6,2,1,0,0
"Ligue 1","2022-2023","3837752","Paris Saint-Germain",0,"AC Ajaccio",28.0921697275237,29.5264288392619,15.2175535014628,"Left Foot","Normal","Free Kick",7,11,8.89550448260243,26.5836415865095,1,1,3,0,0
"Ligue 1","2022-2023","3837752","AC Ajaccio",1,"Paris Saint-Germain",8.70057469366248,32.7262891266333,9.04782501863888,"Right Foot","Normal","Free Kick",7,11,8.56329375882902,30.7605266534889,11,1,3,0,0
"Ligue 1","2022-2023","3837752","AC Ajaccio",1,"Paris Saint-Germain",18.9525723847714,18.916923639958,23.7475285864959,"Left Foot","Normal","Open Play",7,11,2.19317121994613,17.1944758570885,11,1,3,0,0
"Ligue 1","2022-2023","3837752","Paris Saint-Germain",0,"AC Ajaccio",25.7629579047127,9.61665222413705,16.324623321803,"Left Foot","Volley","Open Play",4,8,4.39317652729776,7.74661216274573,6,1,0,0,0
"Ligue 1","2022-2023","3837752","Paris Saint-Germain",0,"AC Ajaccio",17.789041570585,18.1892825586937,18.8026609236384,"Right Foot","Normal","Open Play",2,5,3.96988664825584,10.1138518873869,3,0,1,0,1
"Ligue 1","2022-2023","3837752","AC Ajaccio",1,"Paris Saint-Germain",12.681088281374,29.1907519601671,11.8347706541408,"Left Foot","Normal","Open Play",6,11,4.25440947723653,26.4594028655221,8,1,2,0,0
"Ligue 1","2022-2023","3837752","Paris Saint-Germain",0,"AC Ajaccio",13.0176802849048,12.0208152801713,35.6008948823712,"Right Foot","Normal","Open Play",2,5,2.00997512422418,5.8,5,0,0,0,0
"Ligue 1","2022-2023","3837752","AC Ajaccio",1,"Paris Saint-Germain",3.0364452901378,20.1920776543673,21.6135385864659,"Right Foot","Half Volley","Open Play",3,7,3.13209195267316,17.1163664368347,4,1,2,0,0
"Ligue 1","2022-2023","3837752","Paris Saint-Germain",0,"AC Ajaccio",28.9311251077451,25.6337667930408,14.684378048517,"Left Foot","Normal","Open Play",7,11,3.33766385365573,21.5204553855164,4,1,2,0,0
