"attacking_team","is_home","defending_team","shot_dist","dist_to_goal","shot_angle","body_part","shot_technique","shot_type","teammates_in_frame","opponents_in_frame","closest_opponent_dist","goalkeeper_dist","opponents_in_penalty_area","opponents_in_goal_area","opponents_in_shot_path","is_penalty","is_goal"
"AC Milan",1,"AS Roma",31.4820583825137,30.6014705528999,14.8934420357215,"Right Foot","Normal","Open Play",3,9,2.72029410174708,28.8085056884247,1,1,1,0,0
"AS Roma",0,"AC Milan",28.34025405673,23.9741527483246,17.9302130521559,"Right Foot","Normal","Open Play",5,9,4.01123422402632,20.9480309337178,7,1,2,0,0
"AS Roma",0,"AC Milan",24.6099573343799,18.3357574154983,19.5335788748779,"Left Foot","Normal","Open Play",0,4,2.53179778023443,14.5660564326794,2,1,1,0,0
"AS Roma",0,"AC Milan",12.7581346598944,17.401149387325,16.4717064646469,"Left Foot","Half Volley","Open Play",4,9,3.32415402771893,13.2548104475319,6,1,1,0,0
"AS Roma",0,"AC Milan",15.7610278852618,14.4754965372522,27.3249038419702,"Left Foot","Normal","Open Play",2,4,2.60000000000001,8.81929702413974,2,1,1,0,1
"AS Roma",0,"AC Milan",18.9214164374658,19.7030454498791,21.7902616730927,"Left Foot","Normal","Open Play",3,7,3.49284983931459,18.2937147676463,6,1,2,0,0
"AS Roma",0,"AC Milan",10.5418214744891,13.9301830569451,23.9804009019393,"Right Foot","Normal","Open Play",3,7,1.92353840616713,10.0404183179786,6,1,1,0,0
"AC Milan",1,"AS Roma",42.3095733847554,16.2336071161033,26.1627441552112,"Right Foot","Volley","Open Play",5,8,4.17731971484108,13.5366170072142,7,1,1,0,0
"AC Milan",1,"AS Roma",4.22018956920183,8.54751425854324,29.8917323193504,"Head","Normal","Open Play",6,11,0.509901951359277,7.34098086089318,11,4,2,0,0
"AS Roma",0,"AC Milan",16.2431524033976,19.0685605120051,22.6145980603379,"Right Foot","Normal","Open Play",5,7,2.33452350598575,16.3713163795707,7,1,3,0,0
"AS Roma",0,"AC Milan",28.5700892543233,30.0734101824186,14.3936518694111,"Right Foot","Normal","Open Play",4,8,3.32415402771893,26.5243284552126,1,1,2,0,0
"AC Milan",1,"AS Roma",17.1840041899436,18.2082398929715,22.7010444809275,"Left Foot","Normal","Open Play",3,6,12.2576506721313,12.2576506721313,6,3,3,0,0
"AS Roma",0,"AC Milan",15.8776572579206,19.5887722943527,19.8568990528201,"Left Foot","Normal","Open Play",4,6,2.72946881279123,16.1895027718581,5,1,2,0,0
"AS Roma",0,"AC Milan",11.1211510195663,10.3773792452623,37.5172184316347,"Right Foot","Half Volley","Open Play",2,5,5.25547333738836,5.25547333738836,3,1,1,0,1
"AS Roma",0,"AC Milan",18.0235956457084,18.2477395860419,21.6154274338758,"Right Foot","Normal","Open Play",5,10,2.23606797749979,17.4453432181772,10,1,7,0,0
"AS Roma",0,"AC Milan",46.943902692469,15.3769307730769,27.2624856406648,"Right Foot","Half Volley","Open Play",2,6,1.2,9.99249718538865,2,1,1,0,0
"AC Milan",1,"AS Roma",21.4114455373756,23.1490820552349,15.3181396721153,"Left Foot","Normal","Open Play",4,8,3.84707681233427,19.865799757372,4,1,2,0,0
"AS Roma",0,"AC Milan",13.4082064423248,26.3946964369739,17.1150312573776,"Right Foot","Normal","Open Play",5,6,4.96487663492256,23.062740513651,5,1,2,0,0
"AC Milan",1,"AS Roma",21.5341589109025,22.9314194937863,19.764447267225,"Right Foot","Half Volley","Open Play",3,6,3.08058436014987,21.4149480503689,5,1,2,0,0
"AC Milan",1,"AS Roma",26.6852018916852,20.0324736365732,11.843684321176,"Left Foot","Normal","Open Play",3,9,0.905538513813733,16.2603812993423,7,2,1,0,0
"AC Milan",1,"AS Roma",8.73212459828649,11.4236596587959,34.6717281922576,"Head","Normal","Open Play",4,9,0.500000000000006,8.73613186713663,5,1,1,0,0
"AC Milan",1,"AS Roma",9.68762096698668,10.3619496235023,40.0483431575111,"Head","Normal","Open Play",6,11,1.00498756211209,8.73613186713661,10,1,1,0,0
"AC Milan",1,"AS Roma",33.5440009539709,32.4967690701707,13.077793293952,"Right Foot","Normal","Open Play",5,8,7.68505042273634,31.031113418632,4,1,1,0,0
"AS Roma",0,"AC Milan",1.26491106406735,21.3251025788858,20.0350948630251,"Right Foot","Half Volley","Open Play",3,7,1.45602197785611,18.2164760587771,5,1,2,0,0
"AS Roma",0,"AC Milan",10.8811764069884,15.5080624192708,24.3496645818714,"Left Foot","Normal","Open Play",5,7,2.40831891575846,11.0276924150069,6,1,2,0,0
"AS Roma",0,"AC Milan",8.41724420460758,9.21357693840997,43.9455954964782,"Left Foot","Normal","Open Play",5,8,3.40587727318528,6.28012738724303,7,1,0,0,1
"AS Roma",0,"AC Milan",14.6294224082839,17.541379649275,24.8672458852733,"Right Foot","Normal","Open Play",2,6,3.72021504754765,14.6321563687653,5,1,1,0,0
"AC Milan",1,"AS Roma",3.21403173599764,5.98163857149528,62.252765296965,"Other","Normal","Open Play",5,10,2.34307490277199,3.20624390837628,7,1,1,0,0
"AC Milan",1,"AS Roma",2.01246117974981,4.02492235949962,89.2042764472607,"Right Foot","Normal","Open Play",3,6,1.30384048104053,1.30384048104053,6,2,0,0,1
"AC Milan",1,"AS Roma",3.33766385365572,29.8839421763595,14.8655270302394,"Left Foot","Normal","Open Play",4,8,3.08058436014987,27.3561693224764,1,1,2,0,0
"AC Milan",1,"AS Roma",25.013796193301,28.1460476799141,11.4206131724958,"Right Foot","Normal","Free Kick",6,11,10.3585713300628,26.2345192446898,11,1,4,0,0
"Atalanta",0,"AC Milan",35.8660006133943,30.004166377355,13.2860172490452,"Right Foot","Normal","Open Play",5,9,3.50142828000232,27.3248970720843,6,1,2,0,0
"AC Milan",1,"Atalanta",17.1746906813485,22.9270582500241,18.8101735203096,"Right Foot","Half Volley","Open Play",6,11,3.82753184180093,20.4318379006882,9,6,4,0,0
"AC Milan",1,"Atalanta",2.4698178070457,10.463746938836,35.0565452224499,"Right Foot","Normal","Open Play",2,8,2.55538646783613,7.94040301244212,8,5,2,0,0
"Atalanta",0,"AC Milan",28.7179386446869,32.8385444257202,11.6582991170346,"Left Foot","Normal","Open Play",7,10,13.0146071780903,30.0466304267217,9,1,2,0,0
"Atalanta",0,"AC Milan",11.8004237212059,24.2528348858438,18.6929010659643,"Right Foot","Volley","Open Play",6,11,4.50998891351187,21.4084095625995,8,3,5,0,0
"Atalanta",0,"AC Milan",16.1446585594122,20.7472889795269,12.3046567050817,"Right Foot","Normal","Open Play",2,8,2.30217288664426,16.1418710191849,5,1,1,0,0
"AC Milan",1,"Atalanta",46.5159112562572,37.4813286850933,11.6518496651305,"Left Foot","Normal","Open Play",5,8,7.25672102261069,26.1772802254168,2,0,2,0,0
"Atalanta",0,"AC Milan",7.37563556583431,24.942533953069,14.2910703946225,"Right Foot","Volley","Open Play",6,11,1.61554944214035,21.2809774211618,4,1,1,0,0
"AC Milan",1,"Atalanta",17.8807158693381,21.9611019759938,16.8921551749511,"Right Foot","Normal","Open Play",2,7,1.77200451466694,17.8440466262561,4,1,1,0,0
"Atalanta",0,"AC Milan",14.6863882557966,21.540659228538,11.3099324740202,"Right Foot","Normal","Open Play",2,6,3.81182371050918,15.9762323468332,3,1,1,0,0
"Atalanta",0,"AC Milan",22.9078589134821,23.598728779322,18.7109715404087,"Right Foot","Normal","Open Play",4,9,3.66742416417844,21.2424104093674,1,1,1,0,0
"Atalanta",0,"AC Milan",1.56524758424984,17.4542258493466,22.9790307538793,"Right Foot","Normal","Open Play",3,6,1.98494332412792,13.3764718816286,5,1,2,0,0
"Atalanta",0,"AC Milan",31.196954979613,31.0852054842814,14.6264207991582,"Right Foot","Half Volley","Open Play",6,8,5.02493781056044,30.2800264200677,1,1,1,0,0
"Atalanta",0,"AC Milan",7.00285656000464,9.00055553840984,47.920593836977,"Head","Normal","Open Play",4,8,1.00498756211209,7.09999999999999,7,1,1,0,0
"Atalanta",0,"AC Milan",4.80104155366312,5.12640224719052,75.0128765461371,"Left Foot","Half Volley","Open Play",3,8,0.921954445729293,2.54950975679639,7,2,1,0,0
"Atalanta",0,"AC Milan",7.11969100453103,12.9243955371228,14.2645122980799,"Right Foot","Half Volley","Open Play",4,8,1.92353840616714,7.11969100453103,7,1,1,0,0
"Atalanta",0,"AC Milan",10.6733312513011,12.5363471553719,30.5151866404301,"Right Foot","Half Volley","Open Play",6,11,1.04403065089106,9.30215028904609,10,1,1,0,0
"Atalanta",0,"AC Milan",12.8996123972777,14.681280598095,30.1710246166872,"Left Foot","Normal","Open Play",2,7,4.86004115208915,13.0003846096952,5,1,2,0,0
"Atalanta",0,"AC Milan",12.8887547885744,9.32308961664533,44.1307061821763,"Head","Normal","Open Play",3,7,1,7.02139587261678,6,1,2,0,0
"Atalanta",0,"AC Milan",7.15891053163818,17.6366096515175,11.0464152365799,"Left Foot","Half Volley","Open Play",1,6,4.92442890089805,7.87718223732319,3,1,1,0,0
"Atalanta",0,"AC Milan",26.3837070935833,27.8958778316797,15.4321817606692,"Right Foot","Normal","Open Play",4,9,2.3259406699226,25.3931093015408,5,1,1,0,0
"AC Milan",1,"Atalanta",2.54558441227157,24.5837344600042,11.9757935743288,"Left Foot","Normal","Open Play",4,8,2.30867927612303,21.9456145960873,7,1,2,0,0
"AC Milan",1,"Atalanta",9.14002188181188,8.48115558164099,43.7813472623815,"Head","Normal","Open Play",7,10,1.1,6.74240313241503,10,3,3,0,0
"AC Milan",1,"Atalanta",14.4086779407411,16.3768128767474,24.5499882791452,"Head","Normal","Open Play",4,6,0.90553851381374,13.0648383074572,5,1,1,0,0
"AC Milan",1,"Atalanta",10.0284595028349,10.0284595028349,42.2433250494,"Head","Normal","Open Play",5,11,1.38924439894498,8.42021377400835,8,1,1,0,0
"Bologna",0,"AC Milan",1.77200451466694,28.6681007393235,15.2696765660167,"Left Foot","Normal","Open Play",6,9,2.50798724079689,25.460754112948,5,1,2,0,0
"AC Milan",1,"Bologna",6.19112267686564,12.7906215642556,17.4512258962875,"Right Foot","Normal","Open Play",4,8,5.32353266168246,6.71192967781993,7,4,3,0,0
"AC Milan",1,"Bologna",5.53172667437573,8.78464569575802,46.6506004566344,"Head","Normal","Open Play",5,11,0.921954445729291,7.27323861838726,10,2,2,0,0
"AC Milan",1,"Bologna",11.4,12.4887949778992,33.0869863438297,"Head","Normal","Open Play",6,10,0.848528137423864,8.57263086805912,5,1,1,0,0
"AC Milan",1,"Bologna",26.0754673975367,27.4366543149853,16.2823301114146,"Left Foot","Volley","Open Play",8,11,4.9477267507412,26.8745232515853,6,1,3,0,0
"AC Milan",1,"Bologna",11.4039466852489,31.0618737361415,12.9164444427288,"Left Foot","Normal","Open Play",6,10,3.44818792991333,27.7982013806649,4,1,2,0,0
"AC Milan",1,"Bologna",10.5361283211624,14.638647478507,22.9585828900396,"Right Foot","Normal","Open Play",5,10,6.04069532421558,11.2449988883948,8,2,1,0,0
"AC Milan",1,"Bologna",5.20096144957834,12.1061967603372,36.3268259521202,"Right Foot","Half Volley","Open Play",3,5,0.921954445729287,6.00333240792145,3,1,1,0,0
"AC Milan",1,"Bologna",24.410038918445,22.8816520382598,16.7540127747336,"Right Foot","Half Volley","Open Play",3,6,6.32455532033675,19.723082923316,6,2,2,0,0
"Bologna",0,"AC Milan",17.1959297509614,14.0089257261219,25.8164221045355,"Left Foot","Normal","Open Play",5,7,2.56320112359526,4.4553338819891,4,0,0,0,0
"Bologna",0,"AC Milan",24.9393263742227,25.1882909305098,17.8535193148908,"Right Foot","Normal","Open Play",5,8,4.03112887414927,22.4750973301563,3,1,1,0,0
"AC Milan",1,"Bologna",21.5538859605408,21.1766380712331,21.3223991887455,"Right Foot","Normal","Open Play",3,5,1.40356688476183,17.414074767268,2,1,2,0,0
"AC Milan",1,"Bologna",5.00899191454728,6.53069674690228,60.5501172494172,"Right Foot","Normal","Open Play",3,10,2.18403296678416,3.21403173599764,8,5,2,0,0
"AC Milan",1,"Bologna",1.26491106406736,7.16100551598726,52.7526445405196,"Left Foot","Volley","Open Play",4,10,2.15870331449228,7.21110255092798,9,5,2,0,0
"AC Milan",1,"Bologna",1.51327459504216,9.4339811320566,43.9612782002557,"Right Foot","Half Volley","Open Play",3,8,2.08806130178211,7.55843899227876,7,1,2,0,0
"AC Milan",1,"Bologna",1.04403065089106,8.50058821494136,50.3972449792494,"Right Foot","Half Volley","Open Play",3,9,1.42126704035518,7.53259583410659,8,3,3,0,0
"AC Milan",1,"Bologna",26.9295376863399,30.4494663335829,2.31278398194188,"Right Foot","Normal","Free Kick",8,11,10.7280007457121,30.0413048984228,11,4,0,0,0
"AC Milan",1,"Bologna",1,9.74525525576421,37.5931281831441,"Head","Normal","Open Play",6,11,1.5556349186104,7.30068489937759,10,3,2,0,0
"AC Milan",1,"Bologna",4.93963561409139,19.423954283307,21.4016492825647,"Right Foot","Normal","Open Play",6,9,2.40416305603426,16.6388100536066,8,1,2,0,0
"AC Milan",1,"Bologna",15.6732255773979,10.4560986988456,41.1637518775313,"Head","Normal","Open Play",6,8,2.0591260281974,8.37257427557379,6,1,2,0,0
